serial,stock,ticker
120,STEEL AUTHORITY OF INDIA LIMITED,SAIL
121,SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
122,SUN TV NETWORK LIMITED,SUNTV
123,TATA CONSULTANCY SERVICES LIMITED,TCS
124,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
125,TATA MOTORS LIMITED,TATAMOTORS
126,TATA POWER COMPANY LIMITED,TATAPOWER
127,TATA STEEL LIMITED,TATASTEEL
128,TECH MAHINDRA LIMITED,TECHM
129,THE RAMCO CEMENTS LIMITED,RAMCOCEM
130,TITAN COMPANY LIMITED,TITAN
131,TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
132,TORRENT POWER LIMITED,TORNTPOWER
133,TVS MOTOR COMPANY LIMITED,TVSMOTOR
134,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
135,ULTRATECH CEMENT LIMITED,ULTRACEMCO
136,UNITED BREWERIES LIMITED,UBL
137,UNITED SPIRITS LIMITED,MCDOWELL-N
138,UPL LIMITED,UPL
139,VEDANTA LIMITED,VEDL
140,VOLTAS LIMITED,VOLTAS
141,WIPRO LIMITED,WIPRO
142,YES BANK LIMITED,YESBANK
143,ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
